subject,hemi,mask,annotated_feature,correlation
sub-16,right,STS,pixel,0.031783639987887385
sub-16,right,STS,hue,-0.011552016445514223
sub-16,right,STS,face,0.0027362577655820263
sub-16,right,STS,num_agents,-0.0061118567665609845
sub-16,right,STS,social,-0.00330568867455566
sub-16,right,STS,valence,-0.007756063007802546
sub-16,right,STS,arousal,-0.007455916139293501
sub-16,right,STS,pitch,-0.01573281909739354
sub-16,right,STS,amplitude,-0.019003142792687937
sub-16,right,STS,music,-0.026064527123421662
sub-16,right,STS,speaking,0.01006412575418029
sub-16,right,STS,turn_taking,0.007528129364294566
sub-16,right,STS,mentalization,-0.00513101221806031
sub-16,right,STS,written_text,0.01074057023107879
sub-19,left,MT,pixel,0.041331253085207395
sub-19,left,MT,hue,-0.021125545594734205
sub-19,left,MT,face,-0.029350622136825
sub-19,left,MT,num_agents,-0.005049361975932046
sub-19,left,MT,social,-0.024709038020013705
sub-19,left,MT,valence,-0.026196812065895265
sub-19,left,MT,arousal,-0.009350398195642283
sub-19,left,MT,pitch,-0.0044209178624598595
sub-19,left,MT,amplitude,0.004963039065264244
sub-19,left,MT,music,-0.014133828305761317
sub-19,left,MT,speaking,-0.008523876662645967
sub-19,left,MT,turn_taking,-0.01322883094692395
sub-19,left,MT,mentalization,-0.024375904707439187
sub-19,left,MT,written_text,0.008995043433741613
sub-19,right,MT,pixel,0.023746358792523518
sub-19,right,MT,hue,-0.011427885176560293
sub-19,right,MT,face,-0.024692290339104077
sub-19,right,MT,num_agents,0.003627437938740408
sub-19,right,MT,social,-0.028374567374222753
sub-19,right,MT,valence,-0.04881126442206925
sub-19,right,MT,arousal,0.0003949686839010236
sub-19,right,MT,pitch,0.006042313253459801
sub-19,right,MT,amplitude,0.01172983896088716
sub-19,right,MT,music,0.005803974473246812
sub-19,right,MT,speaking,-0.015052629305064038
sub-19,right,MT,turn_taking,-0.0166068049212149
sub-19,right,MT,mentalization,-0.019360364338835374
sub-19,right,MT,written_text,0.01055432443044432
sub-19,left,STS,pixel,0.03812222301052724
sub-19,left,STS,hue,0.0013425490477504908
sub-19,left,STS,face,-0.005484831670846505
sub-19,left,STS,num_agents,0.00431316459807387
sub-19,left,STS,social,-0.01855483095621702
sub-19,left,STS,valence,-0.03636527895628917
sub-19,left,STS,arousal,-0.007336238507517959
sub-19,left,STS,pitch,-0.005139346163347471
sub-19,left,STS,amplitude,-0.009545443684440156
sub-19,left,STS,music,-0.018404360979327686
sub-19,left,STS,speaking,-0.0027632268825257362
sub-19,left,STS,turn_taking,-0.0036158636249635024
sub-19,left,STS,mentalization,-0.007830000379130843
sub-19,left,STS,written_text,0.005354600329441887
sub-19,right,STS,pixel,0.003967361884434337
sub-19,right,STS,hue,-0.015518887188578516
sub-19,right,STS,face,-0.00865982011919384
sub-19,right,STS,num_agents,0.00917648107355211
sub-19,right,STS,social,-0.01859513089157691
sub-19,right,STS,valence,0.007194089131833988
sub-19,right,STS,arousal,0.0037013712425681936
sub-19,right,STS,pitch,-0.0030583114888436155
sub-19,right,STS,amplitude,0.0006430653863099199
sub-19,right,STS,music,-0.018486423643796854
sub-19,right,STS,speaking,-0.007826179996921229
sub-19,right,STS,turn_taking,-0.005782585750521786
sub-19,right,STS,mentalization,-0.007850039196266463
sub-19,right,STS,written_text,0.003670567237964601
sub-19,left,temporal,pixel,0.04371737030935982
