subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-19,written_text,temporal,,cca,1e-05,0.001,2
sub-19,written_text,frontal,,cca,1e-05,0.001,2
sub-23,pixel,MT,,cca,0.01,0.01,1
sub-23,pixel,STS,,cca,1e-05,0.0031622776601683794,2
sub-23,pixel,temporal,,cca,1e-05,0.03162277660168379,2
sub-23,pixel,frontal,,cca,1e-05,0.0001,2
sub-23,hue,MT,,cca,0.01,0.01,1
sub-23,hue,STS,,cca,1e-05,3.1622776601683795e-05,2
sub-23,hue,temporal,,cca,1e-05,1e-05,2
sub-23,hue,frontal,,cca,1e-05,0.0031622776601683794,2
sub-23,face,MT,,cca,0.01,0.03162277660168379,1
sub-23,face,STS,,cca,0.1,1e-05,2
sub-23,face,temporal,,cca,1e-05,1.0,2
sub-23,face,frontal,,cca,1e-05,0.31622776601683794,2
sub-23,num_agents,MT,,cca,1e-05,0.0001,1
sub-23,num_agents,STS,,cca,1e-05,0.0031622776601683794,2
sub-23,num_agents,temporal,,cca,1.0,0.03162277660168379,2
sub-23,num_agents,frontal,,cca,1e-05,3.1622776601683795e-05,2
sub-23,social,MT,,cca,0.0031622776601683794,0.31622776601683794,1
sub-23,social,STS,,cca,0.03162277660168379,0.1,2
sub-23,social,temporal,,cca,1e-05,0.1,2
sub-23,social,frontal,,cca,1.0,0.31622776601683794,2
sub-23,valence,MT,,cca,0.01,0.31622776601683794,1
sub-23,valence,STS,,cca,1e-05,1e-05,2
sub-23,valence,temporal,,cca,1.0,0.03162277660168379,2
sub-23,valence,frontal,,cca,1e-05,0.1,2
sub-23,arousal,MT,,cca,0.00031622776601683794,0.1,1
sub-23,arousal,STS,,cca,1.0,3.1622776601683795e-05,2
sub-23,arousal,temporal,,cca,1e-05,0.1,2
sub-23,arousal,frontal,,cca,1.0,0.03162277660168379,2
sub-23,pitch,MT,,cca,0.01,0.03162277660168379,1
sub-23,pitch,STS,,cca,1e-05,3.1622776601683795e-05,2
sub-23,pitch,temporal,,cca,1e-05,3.1622776601683795e-05,2
sub-23,pitch,frontal,,cca,1e-05,0.0001,2
